assunto,app/device,interface,modelo,problema,solucao
INFRAESTRTURA,VPN,ONLINE SAZ,TUNEL2,SEM COMUNICAÇÃO,procedimentos...
INFRAESTRTURA,VPN,ONLINE NAZ,TUNEL1,SEM COMUNICAÇÃO,procedimentos...
INFRAESTRTURA,VPN,ONLINE NAZ,TUNEL2,SEM COMUNICAÇÃO,procedimentos...
INFRAESTRTURA,VPN,ONLINE APAC,TUNEL1,SEM COMUNICAÇÃO,procedimentos...
INFRAESTRTURA,VPN,ONLINE APAC,TUNEL2,SEM COMUNICAÇÃO,procedimentos...
MYSEMEQ,SOFTWARE,Integração,SAP ABI SAZ,RDP não foi integrado,procedimentos...
MYSEMEQ,SOFTWARE,Integração,SAP ABI EUROPA,A baixa do RDP não foi integrada no MySEMEQ,procedimentos...
MYSEMEQ,SOFTWARE,Integração,EMAINT,Não gerou ordem de serviço na aplica,procedimentos...
MYSEMEQ,SOFTWARE,Integração,Historiador SABESP,Não gerou ordem de serviço na aplica,procedimentos...
MYSEMEQ,SOFTWARE,Semeq AWS API,v1,HTTP 502 Bad gateway,procedimentos...
MYSEMEQ,SOFTWARE,Semeq AWS API,v1,HTTP 408 Timeout,procedimentos...
MYSEMEQ,SOFTWARE,Semeq AWS API,v1,A API está indisponível,procedimentos...
MYSEMEQ,SOFTWARE,Semeq AWS API,v1,Um Endpoint específico da API não está acessível,procedimentos...
MYSEMEQ,SOFTWARE,Semeq AWS API,v1,API não retorna dados nem mensagem alguma,procedimentos...
MYSEMEQ,SOFTWARE,Semeq AWS API,v1,LENTIDÃO,procedimentos...
MYSEMEQ,SOFTWARE,Semeq AWS API,v1,PAGINA NÃO CARREGA,procedimentos...
MYSEMEQ,SOFTWARE,Semeq AWS API,v1,GRAFICO PIZZA NÃO CARREGA,procedimentos...
MYSEMEQ,SOFTWARE,Semeq AWS API,v1,PRIORIZAÇÃO NÃO CARREGA,procedimentos...
MYSEMEQ,SOFTWARE,Semeq API,v1,HTTP 502 Bad gateway,procedimentos...
MYSEMEQ,SOFTWARE,Semeq API,v1,HTTP 408 Timeout,procedimentos...
MYSEMEQ,SOFTWARE,Semeq API,v1,A API está indisponível,procedimentos...
MYSEMEQ,SOFTWARE,Semeq API,v1,Um Endpoint específico da API não está acessível,procedimentos...
MYSEMEQ,SOFTWARE,Semeq API,v1,API não retorna dados nem mensagem alguma,procedimentos...
MYSEMEQ,SOFTWARE,Semeq API,v1,LENTIDÃO,procedimentos...
MYSEMEQ,SOFTWARE,Semeq API,v1,PAGINA NÃO CARREGA,procedimentos...
MYSEMEQ,SOFTWARE,Semeq API,v1,GRAFICO PIZZA NÃO CARREGA,procedimentos...
MYSEMEQ,SOFTWARE,Semeq API,v1,PRIORIZAÇÃO NÃO CARREGA,procedimentos...
MYSEMEQ,SOFTWARE,Semeq Web,17,INTERFACE INACESSIVEL,procedimentos...
MYSEMEQ,SOFTWARE,Semeq Web,13,INTERFACE INACESSIVEL,procedimentos...
MYSEMEQ,SOFTWARE,Semeq Web,13,SISTEMA LENTO,procedimentos...
MYSEMEQ,SOFTWARE,ABI MySEMEQ App,2021,NÃO ESTA LOGANDO NO APP,procedimentos...
MYSEMEQ,SOFTWARE,MySEMEQ App,2014,NÃO ESTA LOGANDO NO APP,procedimentos...
MYSEMEQ,SOFTWARE,ABInbev Web Platform,2019,NÃO ESTA LOGANDO,procedimentos...
MYSEMEQ,SOFTWARE,ABInbev Web Platform,2019,USUARIO DE ACESSO NÃO FUNCIONA,procedimentos...
MYSEMEQ,SOFTWARE,PowerBI,v3 (Crowncork),DADOS DESATUALZIDOS,procedimentos...
MYSEMEQ,SOFTWARE,PowerBI,v3 (Crowncork),USUARIO DE ACESSO NÃO FUNCIONA,procedimentos...
MYSEMEQ,SOFTWARE,Vibracao,Portal3,PORTAL LENTO,procedimentos...
MYSEMEQ,SOFTWARE,Vibracao,Portal3,PORTAL NÃO CARREGA,procedimentos...
MYSEMEQ,SOFTWARE,Vibracao,Portal3,ARVORE NÃO CARREGA,procedimentos...
MYSEMEQ,SOFTWARE,Oleo,Portal3,PORTAL LENTO,procedimentos...
MYSEMEQ,SOFTWARE,Oleo,Portal3,PORTAL NÃO CARREGA,procedimentos...
MYSEMEQ,SOFTWARE,Oleo,Portal3,ARVORE NÃO CARREGA,procedimentos...
MYSEMEQ,SOFTWARE,Termografia,Portal3,PORTAL LENTO,procedimentos...
MYSEMEQ,SOFTWARE,Termografia,Portal3,PORTAL NÃO CARREGA,procedimentos...
MYSEMEQ,SOFTWARE,Termografia,Portal3,ARVORE NÃO CARREGA,procedimentos...
MYSEMEQ,SOFTWARE,PORTAL,Vibracao,Medidas na tendencia do analisador fora de ordem,procedimentos...
PORTAL,SOFTWARE,Integração,SAP ABI SAZ,RDP não foi integrado,procedimentos...
PORTAL,SOFTWARE,Integração,SAP ABI EUROPA,A baixa do RDP não foi integrada no MySEMEQ,procedimentos...
PORTAL,SOFTWARE,Integração,EMAINT,Não gerou ordem de serviço na aplica,procedimentos...
PORTAL,SOFTWARE,Integração,Historiador SABESP,Não gerou ordem de serviço na aplica,procedimentos...
PORTAL,SOFTWARE,Semeq AWS API,v1,HTTP 502 Bad gateway,procedimentos...
PORTAL,SOFTWARE,Semeq AWS API,v1,HTTP 408 Timeout,procedimentos...
PORTAL,SOFTWARE,Semeq AWS API,v1,A API está indisponível,procedimentos...
PORTAL,SOFTWARE,Semeq AWS API,v1,Um Endpoint específico da API não está acessível,procedimentos...
PORTAL,SOFTWARE,Semeq AWS API,v1,API não retorna dados nem mensagem alguma,procedimentos...
PORTAL,SOFTWARE,Semeq AWS API,v1,LENTIDÃO,procedimentos...
PORTAL,SOFTWARE,Semeq AWS API,v1,PAGINA NÃO CARREGA,procedimentos...
PORTAL,SOFTWARE,Semeq AWS API,v1,GRAFICO PIZZA NÃO CARREGA,procedimentos...
PORTAL,SOFTWARE,Semeq AWS API,v1,PRIORIZAÇÃO NÃO CARREGA,procedimentos...
PORTAL,SOFTWARE,Semeq API,v1,HTTP 502 Bad gateway,procedimentos...
PORTAL,SOFTWARE,Semeq API,v1,HTTP 408 Timeout,procedimentos...
PORTAL,SOFTWARE,Semeq API,v1,A API está indisponível,procedimentos...
PORTAL,SOFTWARE,Semeq API,v1,Um Endpoint específico da API não está acessível,procedimentos...
PORTAL,SOFTWARE,Semeq API,v1,API não retorna dados nem mensagem alguma,procedimentos...
PORTAL,SOFTWARE,Semeq API,v1,LENTIDÃO,procedimentos...
PORTAL,SOFTWARE,Semeq API,v1,PAGINA NÃO CARREGA,procedimentos...
PORTAL,SOFTWARE,Semeq API,v1,GRAFICO PIZZA NÃO CARREGA,procedimentos...
PORTAL,SOFTWARE,Semeq API,v1,PRIORIZAÇÃO NÃO CARREGA,procedimentos...
PORTAL,SOFTWARE,Semeq Web,17,INTERFACE INACESSIVEL,procedimentos...
PORTAL,SOFTWARE,Semeq Web,13,INTERFACE INACESSIVEL,procedimentos...
PORTAL,SOFTWARE,Semeq Web,13,SISTEMA LENTO,procedimentos...
PORTAL,SOFTWARE,ABI MySEMEQ App,2021,NÃO ESTA LOGANDO NO APP,procedimentos...
PORTAL,SOFTWARE,MySEMEQ App,2014,NÃO ESTA LOGANDO NO APP,procedimentos...
PORTAL,SOFTWARE,ABInbev Web Platform,2019,NÃO ESTA LOGANDO,procedimentos...
PORTAL,SOFTWARE,ABInbev Web Platform,2019,USUARIO DE ACESSO NÃO FUNCIONA,procedimentos...
PORTAL,SOFTWARE,PowerBI,v3 (Crowncork),DADOS DESATUALZIDOS,procedimentos...
PORTAL,SOFTWARE,PowerBI,v3 (Crowncork),USUARIO DE ACESSO NÃO FUNCIONA,procedimentos...
PORTAL,SOFTWARE,Vibracao,Portal3,PORTAL LENTO,procedimentos...
PORTAL,SOFTWARE,Vibracao,Portal3,PORTAL NÃO CARREGA,procedimentos...
PORTAL,SOFTWARE,Vibracao,Portal3,ARVORE NÃO CARREGA,procedimentos...
PORTAL,SOFTWARE,Oleo,Portal3,PORTAL LENTO,procedimentos...
PORTAL,SOFTWARE,Oleo,Portal3,PORTAL NÃO CARREGA,procedimentos...
PORTAL,SOFTWARE,Oleo,Portal3,ARVORE NÃO CARREGA,procedimentos...
PORTAL,SOFTWARE,Termografia,Portal3,PORTAL LENTO,procedimentos...
PORTAL,SOFTWARE,Termografia,Portal3,PORTAL NÃO CARREGA,procedimentos...
PORTAL,SOFTWARE,Termografia,Portal3,ARVORE NÃO CARREGA,procedimentos...
PORTAL,SOFTWARE,PORTAL,Vibracao,Medidas na tendencia do analisador fora de ordem,procedimentos...
SISTEMA ONLINE,SOFTWARE ON,Interface Online Saz,v1,HTTP 502 Bad gateway,procedimentos...
SISTEMA ONLINE,SOFTWARE ON,Interface Online Saz,v1,HTTP 408 Timeout,procedimentos...
SISTEMA ONLINE,SOFTWARE ON,Interface Online Saz,v1,A API está indisponível,procedimentos...
SISTEMA ONLINE,SOFTWARE ON,Interface Online Saz,v1,Um Endpoint específico da API não está acessível,procedimentos...
SISTEMA ONLINE,SOFTWARE ON,Interface Online Saz,v1,API não retorna dados nem mensagem alguma,procedimentos...
SISTEMA ONLINE,SOFTWARE ON,Interface Online Saz,v1,LENTIDÃO,procedimentos...
SISTEMA ONLINE,SOFTWARE ON,Interface Online Saz,v1,PAGINA NÃO CARREGA,procedimentos...
SISTEMA ONLINE,SOFTWARE ON,Interface Online Saz,v1,GRAFICO PIZZA NÃO CARREGA,procedimentos...
SISTEMA ONLINE,SOFTWARE ON,Interface Online Saz,v1,PRIORIZAÇÃO NÃO CARREGA,procedimentos...
SISTEMA ONLINE,SOFTWARE ON,Interface Online Apac,v1,HTTP 502 Bad gateway,procedimentos...
SISTEMA ONLINE,SOFTWARE ON,Interface Online Apac,v1,HTTP 408 Timeout,procedimentos...
SISTEMA ONLINE,SOFTWARE ON,Interface Online Apac,v1,A API está indisponível,procedimentos...
SISTEMA ONLINE,SOFTWARE ON,Interface Online Apac,v1,Um Endpoint específico da API não está acessível,procedimentos...
SISTEMA ONLINE,SOFTWARE ON,Interface Online Apac,v1,API não retorna dados nem mensagem alguma,procedimentos...
SISTEMA ONLINE,SOFTWARE ON,Interface Online Apac,v1,LENTIDÃO,procedimentos...
SISTEMA ONLINE,SOFTWARE ON,Interface Online Apac,v1,PAGINA NÃO CARREGA,procedimentos...
SISTEMA ONLINE,SOFTWARE ON,Interface Online Apac,v1,GRAFICO PIZZA NÃO CARREGA,procedimentos...
SISTEMA ONLINE,SOFTWARE ON,Interface Online Apac,v1,PRIORIZAÇÃO NÃO CARREGA,procedimentos...
SISTEMA ONLINE,SOFTWARE ON,Interface Online Naz,v1,HTTP 502 Bad gateway,procedimentos...
SISTEMA ONLINE,SOFTWARE ON,Interface Online Naz,v1,HTTP 408 Timeout,procedimentos...
SISTEMA ONLINE,SOFTWARE ON,Interface Online Naz,v1,A API está indisponível,procedimentos...
SISTEMA ONLINE,SOFTWARE ON,Interface Online Naz,v1,Um Endpoint específico da API não está acessível,procedimentos...
SISTEMA ONLINE,SOFTWARE ON,Interface Online Naz,v1,API não retorna dados nem mensagem alguma,procedimentos...
SISTEMA ONLINE,SOFTWARE ON,Interface Online Naz,v1,LENTIDÃO,procedimentos...
SISTEMA ONLINE,SOFTWARE ON,Interface Online Naz,v1,PAGINA NÃO CARREGA,procedimentos...
SISTEMA ONLINE,SOFTWARE ON,Interface Online Naz,v1,GRAFICO PIZZA NÃO CARREGA,procedimentos...
SISTEMA ONLINE,SOFTWARE ON,Interface Online Naz,v1,PRIORIZAÇÃO NÃO CARREGA,procedimentos...
SISTEMA ONLINE,EQUIPAMENTOS ON,Sensor,Axon,Vínculo não aplicado em ambas as direções do sensor,procedimentos...
SISTEMA ONLINE,EQUIPAMENTOS ON,Gateway,SMQ990,GW NÃO ENTRA NA INTERFACE,procedimentos...
SISTEMA ONLINE,EQUIPAMENTOS ON,Gateway,SMQ990,Não conecta na internet do cliente,procedimentos...
SISTEMA ONLINE,EQUIPAMENTOS ON,Gateway,SMQ990,ESTAVA CONECTADO E NAO ESTA MAIS,procedimentos...
SISTEMA ONLINE,EQUIPAMENTOS ON,Gateway,SMQ990,NÃO COMUNICA COM SENSOR,procedimentos...
SISTEMA ONLINE,EQUIPAMENTOS ON,Gateway,SMQ990,GW ONLINE POREM COM DATA E HORAS ERRADAS,procedimentos...
SISTEMA ONLINE,EQUIPAMENTOS ON,Gateway,SMQ990,Gateway conectado mas nao sobe na interface,procedimentos...
SISTEMA ONLINE,EQUIPAMENTOS ON,Gateway,SMQ915,GW NÃO ENTRA NA INTERFACE,procedimentos...
SISTEMA ONLINE,EQUIPAMENTOS ON,Gateway,SMQ915,Não conecta na internet do cliente,procedimentos...
SISTEMA ONLINE,EQUIPAMENTOS ON,Gateway,SMQ915,ESTAVA CONECTADO E NAO ESTA MAIS,procedimentos...
SISTEMA ONLINE,EQUIPAMENTOS ON,Gateway,SMQ915,NÃO COMUNICA COM SENSOR,procedimentos...
SISTEMA ONLINE,EQUIPAMENTOS ON,Gateway,SMQ915,GW ONLINE POREM COM DATA E HORAS ERRADAS,procedimentos...
SISTEMA ONLINE,EQUIPAMENTOS ON,Gateway,SMQ915,Gateway conectado mas nao sobe na interface,procedimentos...
